sub	session	condition	accuracy	RT
sub-5143	7	S_L	0.45833333333333337	1.41305
sub-5143	7	S_U	0.875	1.2674833333333333
sub-5149	5	S_C	1.0	1.709
sub-5149	5	S_H	0.875	1.3565181818181817
sub-5149	5	S_L	0.625	1.443079365079365
sub-5149	5	S_U	0.7916666666666667	1.4724821428571429
sub-5149	7	S_C	1.0	0.889875
sub-5149	7	S_H	0.9583333333333333	1.0043333333333333
sub-5149	7	S_L	0.875	1.2203749999999998
sub-5149	7	S_U	0.9583333333333333	1.3519166666666669
sub-5153	5	S_C	1.0	0.9573749999999999
sub-5153	5	S_H	1.0	1.3481666666666667
sub-5153	5	S_L	0.7916666666666667	1.274314393939394
sub-5153	5	S_U	0.75	1.464909090909091
sub-5153	7	S_C	0.9583333333333333	0.8628750000000001
sub-5153	7	S_H	0.9166666666666667	1.2619166666666668
sub-5153	7	S_L	0.875	1.22625
sub-5153	7	S_U	0.9166666666666666	1.3355075757575756
sub-5159	5	S_C	0.9166666666666666	1.7751818181818182
sub-5159	5	S_H	0.8333333333333333	1.5291780303030302
sub-5159	5	S_L	0.5833333333333333	1.608681818181818
sub-5159	5	S_U	0.9166666666666667	1.4869333333333334
sub-5159	7	S_C	1.0	1.1448749999999999
sub-5159	7	S_H	0.9583333333333333	1.1301666666666668
sub-5159	7	S_L	0.875	1.1532499999999999
sub-5159	7	S_U	0.875	1.3517878787878788
sub-5160	5	S_C	0.9166666666666666	1.7249166666666667
sub-5160	5	S_H	0.8333333333333333	1.7901464646464647
sub-5160	5	S_L	0.875	1.7985454545454544
sub-5160	5	S_U	0.6666666666666667	2.0691349206349203
sub-5160	7	S_C	1.0	2.076458333333333
sub-5160	7	S_H	0.875	1.3792083333333334
sub-5160	7	S_L	0.7916666666666667	1.4589204545454546
sub-5160	7	S_U	0.625	1.5934545454545455
sub-5161	5	S_C	1.0	1.7074166666666666
sub-5161	5	S_H	0.9166666666666667	1.1758333333333333
sub-5161	5	S_L	0.8333333333333334	1.2461098484848485
sub-5161	5	S_U	0.875	1.461310606060606
sub-5161	7	S_C	0.9583333333333333	2.3851666666666667
sub-5161	7	S_H	0.9166666666666666	1.6072916666666668
sub-5161	7	S_L	0.7083333333333333	1.7653636363636362
sub-5161	7	S_U	0.875	1.6009621212121212
sub-5163	5	S_C	0.75	1.8901499999999998
sub-5163	5	S_H	0.7916666666666667	1.314
sub-5163	5	S_L	0.75	1.2217272727272728
