sub	session	condition	accuracy	RT
sub-5109	9	S_U	0.9166666666666667	1.3396666666666666
sub-5120	7	S_C	0.75	1.219175
sub-5120	7	S_H	1.0	1.1425416666666668
sub-5120	7	S_L	0.875	1.1905075757575756
sub-5120	7	S_U	0.6666666666666666	1.2779090909090909
sub-5120	9	S_C	1.0	0.7823333333333333
sub-5120	9	S_H	0.8333333333333333	1.3407651515151515
sub-5120	9	S_L	0.6666666666666666	1.3303916666666669
sub-5120	9	S_U	0.875	1.42605
sub-5125	7	S_C	0.9583333333333333	0.7230833333333333
sub-5125	7	S_H	1.0	0.9490833333333333
sub-5125	7	S_L	0.9583333333333333	1.0769583333333332
sub-5125	7	S_U	0.9166666666666667	1.2035416666666667
sub-5125	9	S_C	0.9583333333333333	1.1953106060606062
sub-5125	9	S_H	1.0	1.0026666666666668
sub-5125	9	S_L	1.0	1.0496666666666665
sub-5125	9	S_U	0.9166666666666666	1.3528219696969699
sub-5136	7	S_C	0.8333333333333334	1.5594000000000001
sub-5136	7	S_H	0.9583333333333333	1.1560416666666669
sub-5136	7	S_L	0.875	1.197625
sub-5136	7	S_U	0.6666666666666666	1.2457916666666666
sub-5136	9	S_C	0.8333333333333334	1.6181363636363637
sub-5136	9	S_H	0.7916666666666667	1.0872916666666668
sub-5136	9	S_L	0.8333333333333334	1.1202916666666667
sub-5136	9	S_U	0.9166666666666667	1.1504166666666666
sub-5140	7	S_C	1.0	1.1690416666666668
sub-5140	7	S_H	0.9583333333333333	1.28925
sub-5140	7	S_L	0.9166666666666667	1.2273030303030303
sub-5140	7	S_U	0.6666666666666667	1.4200833333333334
sub-5140	9	S_C	1.0	1.1534583333333335
sub-5140	9	S_H	0.9166666666666666	1.0433750000000002
sub-5140	9	S_L	0.9583333333333333	1.0738750000000001
sub-5140	9	S_U	0.9583333333333333	1.3032499999999998
sub-5147	7	S_C	0.9583333333333333	1.1244280303030303
sub-5147	7	S_H	0.8333333333333334	1.2733787878787877
sub-5147	7	S_L	0.75	1.2996098484848484
sub-5147	7	S_U	0.8333333333333333	1.2598257575757577
sub-5147	9	S_C	0.9583333333333333	1.2743030303030305
sub-5147	9	S_H	1.0	1.2990416666666667
sub-5147	9	S_L	0.9166666666666666	1.4823749999999998
sub-5147	9	S_U	0.9583333333333333	1.4763219696969698
sub-5149	7	S_C	1.0	0.889875
sub-5149	7	S_H	0.9583333333333333	1.0043333333333333
sub-5149	7	S_L	0.875	1.2203749999999998
sub-5149	7	S_U	0.9583333333333333	1.3519166666666669
sub-5149	9	S_C	1.0	2.1205
sub-5149	9	S_H	0.875	0.9821666666666666
sub-5149	9	S_L	0.9583333333333333	1.1095833333333334
sub-5149	9	S_U	0.9583333333333333	1.1176666666666666
sub-5151	7	S_C	0.9583333333333333	0.8296250000000001
sub-5151	7	S_H	0.875	1.3305833333333335
sub-5151	7	S_L	0.8333333333333333	1.313787878787879
sub-5151	7	S_U	0.45833333333333337	1.4908000000000001
sub-5151	9	S_C	0.9583333333333333	1.1277083333333333
sub-5151	9	S_H	1.0	1.1302916666666667
sub-5151	9	S_L	0.875	1.2550416666666666
sub-5151	9	S_U	1.0	1.3232083333333333
sub-5153	7	S_C	0.9583333333333333	0.8628750000000001
sub-5153	7	S_H	0.9166666666666667	1.2619166666666668
sub-5153	7	S_L	0.875	1.22625
sub-5153	7	S_U	0.9166666666666666	1.3355075757575756
sub-5153	9	S_C	0.9583333333333333	2.008125
sub-5153	9	S_H	0.9583333333333333	1.2506249999999999
sub-5153	9	S_L	0.7916666666666667	1.2437083333333332
sub-5153	9	S_U	0.9583333333333333	1.2311666666666667
sub-5157	7	S_C	1.0	2.103125
sub-5157	7	S_H	0.9583333333333333	1.2384507575757575
sub-5157	7	S_L	0.75	1.6365363636363637
sub-5157	7	S_U	0.75	1.5844444444444443
sub-5157	9	S_C	1.0	2.4775
sub-5157	9	S_H	0.875	1.378469696969697
sub-5157	9	S_L	0.9166666666666666	1.4692348484848483
sub-5157	9	S_U	0.7916666666666667	1.575121212121212
sub-5158	7	S_C	0.9583333333333333	1.0465
sub-5158	7	S_H	0.875	1.2232954545454546
sub-5158	7	S_L	0.75	1.3010972222222223
sub-5158	7	S_U	0.7916666666666667	1.2009621212121213
sub-5158	9	S_C	0.9583333333333333	1.9464545454545457
sub-5158	9	S_H	0.5833333333333333	1.3646545454545456
sub-5158	9	S_L	0.625	1.4193787878787878
sub-5158	9	S_U	0.6666666666666666	1.4640416666666667
sub-5163	7	S_C	0.9166666666666666	1.4049166666666668
sub-5163	7	S_H	0.9166666666666666	1.2338333333333336
sub-5163	7	S_L	0.9166666666666666	1.2593333333333334
sub-5163	7	S_U	0.75	1.2116818181818183
sub-5163	9	S_C	1.0	1.1183333333333334
sub-5163	9	S_H	0.8333333333333333	0.9885833333333334
sub-5163	9	S_L	0.9583333333333333	1.1357083333333333
sub-5163	9	S_U	0.9583333333333333	1.1350416666666665
sub-5187	7	S_C	0.9166666666666666	1.0831666666666666
sub-5187	7	S_H	0.6666666666666667	1.4884204545454547
sub-5187	7	S_L	0.7083333333333333	1.482125
sub-5187	7	S_U	0.7083333333333333	1.5879500000000002
sub-5187	9	S_C	0.9583333333333333	0.9592083333333334
sub-5187	9	S_H	0.875	1.3425833333333332
